Table: Density [G]
Temperature {K} 	Pressure {kPa} 	Density {kg/m^3} 	Uncertainty {kg/m^3} 
280	250	14.3256	0.0080
280	275	15.7839	0.0097
280	300	17.247	0.012
280	325	18.715	0.014
280	350	20.188	0.016
280	375	21.666	0.018
280	400	23.149	0.021
280	425	24.637	0.024
290	0.7	0.038117500	5.1e-8
290	25	1.363210	6.5e-5
290	50	2.73029	0.00026
290	75	4.10126	0.00059
290	100	5.4762	0.0011
290	125	6.8550	0.0017
290	150	8.2379	0.0024
290	175	9.6247	0.0033
290	200	11.0156	0.0043
290	225	12.4106	0.0055
290	250	13.8097	0.0068
290	275	15.2129	0.0082
290	300	16.6203	0.0098
290	325	18.032	0.012
290	350	19.448	0.013
290	375	20.868	0.016
290	400	22.292	0.018
290	425	23.721	0.020
300	0.7	0.036846800	4.4e-8
300	25	1.317590	5.7e-5
300	50	2.63856	0.00023
300	75	3.96294	0.00051
300	100	5.29074	0.00091
300	125	6.6220	0.0014
300	150	7.9567	0.0021
300	175	9.2949	0.0028
300	200	10.6367	0.0037
300	225	11.9820	0.0047
300	250	13.3308	0.0058
300	275	14.6833	0.0071
300	300	16.0393	0.0084
300	325	17.3990	0.0099
300	350	18.762	0.012
300	375	20.130	0.013
300	400	21.500	0.015
300	425	22.875	0.017

